ClienteID,Nome,Endereço_de_Entrega,Telefone,Email
61,Ryan Ribeiro,"Trevo de Fogaça, 333
Vila Nova Gameleira 3ª Seção
78433436 Moraes de Rodrigues / PE",11 6765 4845,heitoraraujo@yahoo.com.br
62,Sr. Daniel Teixeira,"Lagoa de Campos, 87
Frei Leopoldo
14842434 Moreira / MG",61 2851 3991,aribeiro@gmail.com
63,Maria Eduarda Freitas,"Morro Fogaça, 71
Vila Cloris
82978-652 Alves / PB",+55 84 4860-3367,caua45@gmail.com
64,Dr. Enzo Mendes,"Conjunto Vitória Cavalcanti, 55
São Gonçalo
55043559 da Conceição das Flores / PI",(084) 1528-3961,ana-laura83@goncalves.br
65,Isabel Freitas,"Vale de Novaes, 24
Vila Primeiro De Maio
62326457 Moura / MT",+55 71 4967-8640,rodrigopires@bol.com.br
66,Srta. Fernanda Cavalcanti,"Condomínio de Carvalho, 547
Jatobá
55096-344 Azevedo do Campo / MT",(021) 0751-2869,esther03@uol.com.br
67,Miguel Caldeira,"Esplanada Agatha Oliveira, 67
Monte São José
41575-416 Cardoso do Norte / CE",0800 667 5394,beatrizcardoso@da.org
68,Agatha Moreira,"Vila Correia, 68
Vila Satélite
60931-341 Castro Paulista / RR",+55 (051) 7514 7939,lavinia65@bol.com.br
69,Sr. Eduardo Azevedo,"Lago de da Mota, 10
São Salvador
32443982 Gomes de Costa / BA",(061) 1775 5507,scastro@mendes.com
70,Nina Barbosa,"Fazenda Aragão, 81
Santa Lúcia
60826-841 Santos / DF",+55 81 8008-8538,ryan51@martins.com
71,Maria Clara Almeida,"Pátio Farias, 65
Vila Nova Gameleira 2ª Seção
14464928 Nunes do Oeste / RO",+55 41 7682 7549,antonio79@azevedo.br
72,Dr. Thales Costela,"Favela de Campos, 67
Venda Nova
91796367 Santos de Dias / MG",+55 31 2602-3591,ana-sophia86@ig.com.br
73,Diego da Rocha,"Residencial Esther Pinto, 41
Santa Tereza
07187491 Rodrigues / MA",(081) 0749-6661,daniela39@martins.com
74,Ana Sophia Lopes,"Setor Gabriela Souza, 55
Vila Da Amizade
96314-302 Aragão / GO",(011) 5801 0819,tcardoso@moraes.com
75,Marcos Vinicius Alves,"Ladeira Barbosa, 11
Vila Antena Montanhês
29914675 Santos / SC",+55 (041) 4112-6994,vitoria62@gmail.com
76,Dra. Ana Júlia Porto,"Estação Maria Vitória da Conceição, 32
Alpes
25042-271 Cardoso Alegre / RS",21 2455-4982,matheusrezende@silva.net
77,Luiz Gustavo Moraes,"Estrada de Ribeiro, 86
Indaiá
59399-589 Lopes do Galho / CE",+55 31 4638-7502,kamilly37@da.br
78,Miguel da Cunha,"Viela de Fernandes, 706
Floresta
14701700 Rezende / PB",0300-100-1578,barrosalice@sales.com
79,Maitê da Mata,"Viela de Cavalcanti, 58
São Sebastião
75579-014 Peixoto / RJ",(071) 1985 6250,rochavalentina@uol.com.br
80,Sra. Sophie Melo,"Estrada Luiz Fernando da Mota, 186
Jardim Vitoria
50502-658 da Cunha de Fernandes / PA",31 1880-2375,freitasvitor-hugo@azevedo.com
81,Isadora Gomes,"Alameda de Costa, 54
Glória
29421087 da Rosa / GO",+55 (021) 0905-9522,antonioda-cruz@alves.org
82,Dr. Yuri da Cruz,"Viela Alexia Viana, 34
Cidade Jardim
33916942 Santos de Rezende / BA",+55 (071) 7645 3910,dlima@castro.com
83,Bryan Pires,"Praia Nunes, 79
Milionario
04698-060 Freitas / MG",+55 81 4587 6863,arthur75@fogaca.org
84,Vitor Sales,"Passarela Rocha, 10
Vila São Rafael
12664525 da Cruz da Praia / MS",+55 (021) 6130 5649,yteixeira@freitas.net
85,Vitor Farias,"Recanto Fernando Sales, 17
Manacas
24217384 Novaes / PR",+55 (071) 2601-1177,maria-alice03@fernandes.br
86,Rafaela Campos,"Feira Gabriela Gonçalves, 63
Maravilha
78427815 da Costa da Prata / PE",+55 (051) 7786 8672,moreiralaura@alves.com
87,Kevin Silveira,"Condomínio Silveira, 44
Vila Da Paz
14643846 Cunha / MA",0800-539-4849,manuelarocha@uol.com.br
88,Brenda Cunha,"Praia de Costa, 95
Nova Vista
73906272 Costa Grande / PB",+55 11 9530 4990,vitormoura@nogueira.net
89,Ana Júlia Freitas,"Praia Julia Pinto, 2
Vila Boa Vista
12889817 da Rosa / TO",+55 71 3499-4780,bcaldeira@da.br
90,Isadora Barbosa,"Campo Cauê da Cruz, 22
São Pedro
66874979 Moraes do Amparo / PI",(031) 2346-4460,ferreiraantonio@bol.com.br
91,Joana Monteiro,"Passarela de Gomes, 649
Liberdade
74927716 Costela / MT",71 9604-7090,esthercorreia@bol.com.br
92,Luana Nascimento,"Chácara Isabella da Mata, 54
Jaraguá
54424087 da Cunha / GO",+55 31 7758-9919,gabrielsales@yahoo.com.br
93,Dra. Daniela Melo,"Aeroporto Heitor Barros
Vila Oeste
51934-326 Duarte das Flores / AM",+55 11 6748-6265,lorenzo60@lopes.br
94,Heitor Araújo,"Morro da Rosa, 44
Vila Satélite
98980123 Moraes / AL",+55 31 2649-6947,azevedoheloisa@uol.com.br
95,Yasmin Monteiro,"Rodovia de das Neves, 9
Jaqueline
64275281 Souza / SP",(021) 9775-0166,helena24@yahoo.com.br
96,André Costa,"Núcleo de Nascimento, 38
Vila Madre Gertrudes 4ª Seção
03426-294 Pinto Alegre / PR",+55 (061) 8530-5674,xdias@melo.org
97,Yuri da Mota,"Vale Valentina Viana, 70
São Sebastião
83951-516 Dias de Carvalho / CE",0300 636 4510,enzo-gabrieldas-neves@bol.com.br
98,Lucca Peixoto,"Vale de da Paz, 35
Santa Isabel
85048920 Freitas dos Dourados / MA",0300 290 0104,xnogueira@uol.com.br
99,Dr. Juan Duarte,"Ladeira Yuri Silveira
Vale Do Jatoba
36764-135 Araújo da Prata / RO",(021) 7189-8463,costelalavinia@nascimento.net
100,Luiz Henrique da Costa,"Pátio de da Costa, 765
Candelaria
95895-757 Peixoto da Prata / RJ",11 5309 1051,rodrigosilva@ig.com.br
